ItemLargeCode,ItemLargeName,ItemMiddleCode,ItemMiddleName,ItemSmallCode,ItemSmallName,ItemCode,ItemName,PriceYear,PriceMin,PriceMax
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1010,[ÇÇÄÚÅ©] ÀþÀº »ý¸é ÀÜÄ¡ ±¹¼ö 415.4g,2025,4610,4950
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1010,[ÇÇÄÚÅ©] ÀþÀº »ý¸é ÀÜÄ¡ ±¹¼ö 415.4g,2023,4160,4510
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1010,[ÇÇÄÚÅ©] ÀþÀº »ý¸é ÀÜÄ¡ ±¹¼ö 415.4g,2024,4290,4600
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1006,CJ¹é¼³ Á¦ÀÏÁ¦¸é¼Ò(¼Ò¸é)900g ±¹¼ö ¼Ò¸é ¼Ò¹Ù Ä®±¹¼ö ½ºÆÄ°ÔÆ¼,2023,3720,3890
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1006,CJ¹é¼³ Á¦ÀÏÁ¦¸é¼Ò(¼Ò¸é)900g ±¹¼ö ¼Ò¸é ¼Ò¹Ù Ä®±¹¼ö ½ºÆÄ°ÔÆ¼,2025,3910,4190
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1006,CJ¹é¼³ Á¦ÀÏÁ¦¸é¼Ò(¼Ò¸é)900g ±¹¼ö ¼Ò¸é ¼Ò¹Ù Ä®±¹¼ö ½ºÆÄ°ÔÆ¼,2024,3830,3900
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1034,¿À¶Ñ±â ¿¾³¯±¹¼ö ¼Ò¸é 900g,2024,2960,2990
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1034,¿À¶Ñ±â ¿¾³¯±¹¼ö ¼Ò¸é 900g,2023,2810,2960
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1034,¿À¶Ñ±â ¿¾³¯±¹¼ö ¼Ò¸é 900g,2025,2990,3210
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1011,±¸Æ÷±¹¼ö 300g 3Á¾¼¼Æ® ±¹¼ö ¼Ò¸é ÀÜÄ¡±¹¼ö,2024,8130,8720
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1011,±¸Æ÷±¹¼ö 300g 3Á¾¼¼Æ® ±¹¼ö ¼Ò¸é ÀÜÄ¡±¹¼ö,2023,7890,8630
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1011,±¸Æ÷±¹¼ö 300g 3Á¾¼¼Æ® ±¹¼ö ¼Ò¸é ÀÜÄ¡±¹¼ö,2025,8210,8810
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1012,±¸Æ÷±¹¼ö ¼±¹°¼¼Æ® 3P »ï»ö ¼Ò¸é ÀÜÄ¡±¹¼ö,2025,2510,2690
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1013,³ë¸¶µåÄ¹ °¡°ø½ÄÇ° ¿¾³¯ ±¹¼ö ¼Ò¸é 3kg ¿À¶Ñ±â,2025,11450,12290
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1013,³ë¸¶µåÄ¹ °¡°ø½ÄÇ° ¿¾³¯ ±¹¼ö ¼Ò¸é 3kg ¿À¶Ñ±â,2023,10770,11320
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1014,¸é»ç¶û ±¹¼ö ¼Ò¸é 3 KG,2024,13990,15310
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1014,¸é»ç¶û ±¹¼ö ¼Ò¸é 3 KG,2025,14570,15620
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1015,¸é»ç¶ûÀÜÄ¡±¹¼ö(°¡´Â¼Ò¸é)3kg,2023,12220,13100
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1015,¸é»ç¶ûÀÜÄ¡±¹¼ö(°¡´Â¼Ò¸é)3kg,2024,12470,13230
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1015,¸é»ç¶ûÀÜÄ¡±¹¼ö(°¡´Â¼Ò¸é)3kg,2025,13410,14380
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1016,¸íÇ° ±¸Æ÷±¹¼ö 3°³ÀÔ ¼±¹°¼¼Æ®,2025,3780,4060
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1016,¸íÇ° ±¸Æ÷±¹¼ö 3°³ÀÔ ¼±¹°¼¼Æ®,2024,3670,4020
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1016,¸íÇ° ±¸Æ÷±¹¼ö 3°³ÀÔ ¼±¹°¼¼Æ®,2023,3520,3700
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1017,¹æ¿ïÀÌ ±¸Æ÷±¹¼ö ÂÌ±ê1.5kg 10°³ ±¹¼ö,2025,2070,2230
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1017,¹æ¿ïÀÌ ±¸Æ÷±¹¼ö ÂÌ±ê1.5kg 10°³ ±¹¼ö,2024,1950,2190
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1018,»ùÇ¥ ÀÜÄ¡±¹¼ö 101g 10ÀÔ ¶ó¸é ±¹¼ö Ä®±¹¼ö,2024,12270,13870
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1018,»ùÇ¥ ÀÜÄ¡±¹¼ö 101g 10ÀÔ ¶ó¸é ±¹¼ö Ä®±¹¼ö,2025,13340,14300
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1018,»ùÇ¥ ÀÜÄ¡±¹¼ö 101g 10ÀÔ ¶ó¸é ±¹¼ö Ä®±¹¼ö,2023,11780,13730
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1019,»ùÇ¥ ÀÜÄ¡±¹¼ö 101g X 8 ¶ó¸éÃ³·³ °£ÆíÇÑ ±¹¼ö,2024,9690,10730
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1019,»ùÇ¥ ÀÜÄ¡±¹¼ö 101g X 8 ¶ó¸éÃ³·³ °£ÆíÇÑ ±¹¼ö,2025,10530,11290
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1019,»ùÇ¥ ÀÜÄ¡±¹¼ö 101g X 8 ¶ó¸éÃ³·³ °£ÆíÇÑ ±¹¼ö,2023,9500,10620
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1020,»ùÇ¥ Áø°ø¼÷¼º¼Ò¸é 1.1KG ±¹¼ö,2024,5680,6030
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1020,»ùÇ¥ Áø°ø¼÷¼º¼Ò¸é 1.1KG ±¹¼ö,2023,5230,5790
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1020,»ùÇ¥ Áø°ø¼÷¼º¼Ò¸é 1.1KG ±¹¼ö,2025,5980,6420
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1021,»ùÇ¥±¹½Ã ÀÜÄ¡±¹¼ö ¼³··ÅÁ±¹¼ö ¾óÅ«ÇØÀå±¹¼ö ÄÅ¶ó¸é,2025,15100,16200
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1021,»ùÇ¥±¹½Ã ÀÜÄ¡±¹¼ö ¼³··ÅÁ±¹¼ö ¾óÅ«ÇØÀå±¹¼ö ÄÅ¶ó¸é,2023,14060,15400
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1022,»ý¸éÀïÀÌ »ý ¼Ò¸é Äá±¹¼ö ÀÜÄ¡±¹¼ö,2024,3230,3530
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1022,»ý¸éÀïÀÌ »ý ¼Ò¸é Äá±¹¼ö ÀÜÄ¡±¹¼ö,2023,3170,3420
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1022,»ý¸éÀïÀÌ »ý ¼Ò¸é Äá±¹¼ö ÀÜÄ¡±¹¼ö,2025,3360,3600
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1023,¼Ò¸é±¹¼ö(ÀÌÃ÷À£ 3K)X4 ´ë¿ë·®½Ä´ç¿ë,2024,33400,36560
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1023,¼Ò¸é±¹¼ö(ÀÌÃ÷À£ 3K)X4 ´ë¿ë·®½Ä´ç¿ë,2023,31060,34730
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1023,¼Ò¸é±¹¼ö(ÀÌÃ÷À£ 3K)X4 ´ë¿ë·®½Ä´ç¿ë,2025,34790,37310
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1024,½ºÅ×ÀÎ·¹½º ±¹¼ö Àü°ñ³¿ºñ ½ºÅÙÀü°ñ³¿ºñ(¶Ñ²±¹ÌÆ÷ÇÔ)-¼Ò,2023,18990,20150
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1024,½ºÅ×ÀÎ·¹½º ±¹¼ö Àü°ñ³¿ºñ ½ºÅÙÀü°ñ³¿ºñ(¶Ñ²±¹ÌÆ÷ÇÔ)-¼Ò,2024,19780,20560
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1024,½ºÅ×ÀÎ·¹½º ±¹¼ö Àü°ñ³¿ºñ ½ºÅÙÀü°ñ³¿ºñ(¶Ñ²±¹ÌÆ÷ÇÔ)-¼Ò,2025,19980,21420
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1025,¾ÆÈ­ ÀüÅë ±¹¼ö ¼Ò¸é Áß¸é 900g ÀÜÄ¡±¹¼ö,2025,2900,3110
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1025,¾ÆÈ­ ÀüÅë ±¹¼ö ¼Ò¸é Áß¸é 900g ÀÜÄ¡±¹¼ö,2024,2700,2890
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1025,¾ÆÈ­ ÀüÅë ±¹¼ö ¼Ò¸é Áß¸é 900g ÀÜÄ¡±¹¼ö,2023,2510,2690
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1026,¿¾³¯±¹¼ö¼Ò¸é900g ¿À¶Ñ±â x 4ea,2023,5490,5840
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1026,¿¾³¯±¹¼ö¼Ò¸é900g ¿À¶Ñ±â x 4ea,2024,5660,6080
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1026,¿¾³¯±¹¼ö¼Ò¸é900g ¿À¶Ñ±â x 4ea,2025,5780,6200
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1027,¿À¶Ñ±â ¿¾³¯±¹¼ö °­È²¼Ò¸é 900g,2024,3470,3570
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1027,¿À¶Ñ±â ¿¾³¯±¹¼ö °­È²¼Ò¸é 900g,2025,3580,3840
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1028,¿À¶Ñ±â ¿¾³¯±¹¼ö ¼Ò¸é 1.65kg,2024,4200,4520
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1028,¿À¶Ñ±â ¿¾³¯±¹¼ö ¼Ò¸é 1.65kg,2025,4570,4910
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1029,¿À¶Ñ±â ¿¾³¯±¹¼ö ¼Ò¸é 3kg,2024,1420,1450
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1029,¿À¶Ñ±â ¿¾³¯±¹¼ö ¼Ò¸é 3kg,2025,1460,1560
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1029,¿À¶Ñ±â ¿¾³¯±¹¼ö ¼Ò¸é 3kg,2023,1410,1420
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1030,¿À¶Ñ±â ¿¾³¯±¹¼ö ¼Ò¸é 3kg Áß¸é ÀÜÄ¡±¹¼ö,2025,7590,8150
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1030,¿À¶Ñ±â ¿¾³¯±¹¼ö ¼Ò¸é 3kg Áß¸é ÀÜÄ¡±¹¼ö,2024,7130,7910
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1030,¿À¶Ñ±â ¿¾³¯±¹¼ö ¼Ò¸é 3kg Áß¸é ÀÜÄ¡±¹¼ö,2023,7060,7670
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1031,¿À¶Ñ±â ¿¾³¯±¹¼ö ¼Ò¸é 500g 1°³,2023,1420,1540
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1031,¿À¶Ñ±â ¿¾³¯±¹¼ö ¼Ò¸é 500g 1°³,2024,1460,1640
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1031,¿À¶Ñ±â ¿¾³¯±¹¼ö ¼Ò¸é 500g 1°³,2025,1550,1670
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1032,¿À¶Ñ±â ¿¾³¯±¹¼ö ¼Ò¸é 500g X 11,2025,1580,1700
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1032,¿À¶Ñ±â ¿¾³¯±¹¼ö ¼Ò¸é 500g X 11,2024,1530,1680
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1032,¿À¶Ñ±â ¿¾³¯±¹¼ö ¼Ò¸é 500g X 11,2023,1500,1610
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1033,¿À¶Ñ±â ¿¾³¯±¹¼ö ¼Ò¸é 500g X 24,2023,1510,1580
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1033,¿À¶Ñ±â ¿¾³¯±¹¼ö ¼Ò¸é 500g X 24,2025,1640,1760
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1033,¿À¶Ñ±â ¿¾³¯±¹¼ö ¼Ò¸é 500g X 24,2024,1590,1620
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1035,¿À¶Ñ±â ¿¾³¯±¹¼ö ¼Ò¸é 900g »ó¿Â,2025,2190,2350
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1035,¿À¶Ñ±â ¿¾³¯±¹¼ö ¼Ò¸é 900g »ó¿Â,2023,2020,2120
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1035,¿À¶Ñ±â ¿¾³¯±¹¼ö ¼Ò¸é 900g »ó¿Â,2024,2150,2160
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1036,¿À¶Ñ±â ¿¾³¯±¹¼ö ½Ò¼Ò¸é 700g 15°³,2023,34580,37460
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1036,¿À¶Ñ±â ¿¾³¯±¹¼ö ½Ò¼Ò¸é 700g 15°³,2024,35650,37840
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1036,¿À¶Ñ±â ¿¾³¯±¹¼ö ½Ò¼Ò¸é 700g 15°³,2025,37530,40250
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1037,¿À¶Ñ±â ¿¾³¯±¹¼ö ½Ò¼Ò¸é 700g 3°³,2024,8590,9820
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1037,¿À¶Ñ±â ¿¾³¯±¹¼ö ½Ò¼Ò¸é 700g 3°³,2025,9340,10020
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1037,¿À¶Ñ±â ¿¾³¯±¹¼ö ½Ò¼Ò¸é 700g 3°³,2023,8250,9130
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1038,¿À¶Ñ±â ¿¾³¯±¹¼ö¼Ò¸é3kg,2025,10620,11390
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1038,¿À¶Ñ±â ¿¾³¯±¹¼ö¼Ò¸é3kg,2024,10510,10980
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1038,¿À¶Ñ±â ¿¾³¯±¹¼ö¼Ò¸é3kg,2023,9980,10060
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1039,¿À»ö ±¸Æ÷±¹¼ö ¼±¹°¼¼Æ® 300g 3Á¾¼¼Æ®,2024,7360,7820
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1039,¿À»ö ±¸Æ÷±¹¼ö ¼±¹°¼¼Æ® 300g 3Á¾¼¼Æ®,2025,7670,8230
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1039,¿À»ö ±¸Æ÷±¹¼ö ¼±¹°¼¼Æ® 300g 3Á¾¼¼Æ®,2023,7070,7660
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1040,ÀÜÄ¡±¹¼ö 101g X 20 ¶ó¸éÃ³·³ °£ÆíÇÑ ±¹¼ö,2025,22540,24180
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1041,Ã»¼ö½ÄÇ° Ã»¼ö½ÄÇ° ±¹¼ö ¼Ò¸é Ã»¼ö±¹¼ö 2.5 KG,2024,12980,13490
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1041,Ã»¼ö½ÄÇ° Ã»¼ö½ÄÇ° ±¹¼ö ¼Ò¸é Ã»¼ö±¹¼ö 2.5 KG,2025,13520,14500
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1041,Ã»¼ö½ÄÇ° Ã»¼ö½ÄÇ° ±¹¼ö ¼Ò¸é Ã»¼ö±¹¼ö 2.5 KG,2023,11940,13360
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1042,ÃáÃµ¸·±¹¼ö 513g,2025,6250,6710
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1042,ÃáÃµ¸·±¹¼ö 513g,2024,5880,6310
